,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
31090,EPX,Travel Agency,Online,Cancellation Plan,23,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,23,0
31091,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,THAILAND,24.0,0.0,36,0
31092,JZI,Airlines,Online,Basic Plan,7,INDONESIA,30.0,10.5,21,0
31093,C2B,Airlines,Online,Silver Plan,19,SINGAPORE,72.0,18.0,26,0
31095,EPX,Travel Agency,Online,Cancellation Plan,16,JAPAN,13.0,0.0,31,0
31096,RAB,Airlines,Online,Value Plan,68,BRUNEI DARUSSALAM,23.0,9.2,80,0
31097,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,29.0,0.0,30,0
31098,EPX,Travel Agency,Online,Cancellation Plan,21,CHINA,28.0,0.0,35,0
31100,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,MALAYSIA,19.8,11.88,37,0
31101,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,64,AUSTRALIA,69.3,41.58,46,0
31103,C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,49,0
31104,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,VIET NAM,20.0,0.0,35,0
31105,TST,Travel Agency,Offline,Travel Cruise Protect,94,THAILAND,30.0,10.5,35,0
31106,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,4,THAILAND,32.25,20.96,35,0
31107,C2B,Airlines,Online,Silver Plan,16,SINGAPORE,39.0,9.75,22,0
31108,TTW,Travel Agency,Offline,Spouse or Parents Comprehensive Plan,365,SINGAPORE,86.0,0.0,50,0
31109,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,14,"TAIWAN, PROVINCE OF CHINA",36.5,23.73,77,0
31110,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,8,Other,59.0,38.35,24,0
31111,EPX,Travel Agency,Online,Cancellation Plan,65,HONG KONG,17.0,0.0,36,0
31112,JZI,Airlines,Online,Basic Plan,35,THAILAND,22.0,7.7,51,0
31113,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,SINGAPORE,20.0,0.0,36,0
31114,JZI,Airlines,Online,Value Plan,75,UNITED STATES,164.0,57.4,21,0
31116,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,INDIA,37.0,0.0,36,0
31117,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,Other,112.0,0.0,36,0
31120,JZI,Airlines,Online,Basic Plan,6,CHINA,22.0,7.7,75,0
31121,JZI,Airlines,Online,Basic Plan,78,PHILIPPINES,33.0,11.55,36,0
31122,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,136,FRANCE,99.0,59.4,26,0
31123,EPX,Travel Agency,Online,Cancellation Plan,2,ITALY,41.0,0.0,36,0
31124,EPX,Travel Agency,Online,Cancellation Plan,2,THAILAND,15.0,0.0,36,0
31125,JZI,Airlines,Online,Basic Plan,5,VIET NAM,18.0,6.3,75,0
31126,EPX,Travel Agency,Online,Cancellation Plan,10,CHINA,62.0,0.0,36,0
31128,JZI,Airlines,Online,Basic Plan,2,INDONESIA,18.0,6.3,53,0
31130,EPX,Travel Agency,Online,2 way Comprehensive Plan,44,CHINA,49.0,0.0,36,0
31131,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,22.5,5.63,55,0
31133,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,NEW ZEALAND,59.4,35.64,53,0
31134,JZI,Airlines,Online,Basic Plan,6,CHINA,22.0,7.7,33,0
31135,JZI,Airlines,Online,Value Plan,5,"KOREA, REPUBLIC OF",45.0,15.75,43,0
31137,EPX,Travel Agency,Online,Cancellation Plan,90,JAPAN,80.0,0.0,57,0
31139,EPX,Travel Agency,Online,1 way Comprehensive Plan,12,UNITED STATES,106.0,0.0,28,0
31140,C2B,Airlines,Online,Silver Plan,18,SINGAPORE,22.5,5.63,27,0
31141,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,HONG KONG,35.0,0.0,36,0
31142,SSI,Airlines,Online,Ticket Protector,1,SINGAPORE,1.98,0.56,48,0
31144,EPX,Travel Agency,Online,Cancellation Plan,31,CHINA,31.0,0.0,36,0
31145,C2B,Airlines,Online,Silver Plan,7,SINGAPORE,18.5,4.63,48,0
31146,EPX,Travel Agency,Online,Cancellation Plan,79,INDONESIA,11.0,0.0,30,0
31147,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,"KOREA, REPUBLIC OF",66.0,0.0,36,0
31148,JZI,Airlines,Online,Basic Plan,32,PHILIPPINES,18.0,6.3,32,0
31149,JZI,Airlines,Online,Basic Plan,9,MALAYSIA,22.0,7.7,37,0
31150,EPX,Travel Agency,Online,Cancellation Plan,71,MYANMAR,12.0,0.0,36,0
31151,EPX,Travel Agency,Online,Cancellation Plan,15,SOUTH AFRICA,11.0,0.0,36,0
31152,EPX,Travel Agency,Online,Cancellation Plan,35,THAILAND,26.0,0.0,54,0
31156,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,"TAIWAN, PROVINCE OF CHINA",51.0,0.0,35,0
31157,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,8,CHINA,39.75,25.84,64,0
31158,EPX,Travel Agency,Online,2 way Comprehensive Plan,24,MALAYSIA,34.0,0.0,35,0
31159,EPX,Travel Agency,Online,Cancellation Plan,10,CHINA,31.0,0.0,36,0
31161,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,SWITZERLAND,79.2,47.52,49,0
31163,EPX,Travel Agency,Online,2 way Comprehensive Plan,36,INDIA,21.0,0.0,36,0
31164,EPX,Travel Agency,Online,Cancellation Plan,46,CHINA,80.0,0.0,36,0
31165,EPX,Travel Agency,Online,2 way Comprehensive Plan,67,JAPAN,38.0,0.0,37,0
31167,EPX,Travel Agency,Online,Cancellation Plan,39,AUSTRALIA,10.0,0.0,36,0
31168,EPX,Travel Agency,Online,1 way Comprehensive Plan,11,SINGAPORE,20.0,0.0,43,0
31169,EPX,Travel Agency,Online,2 way Comprehensive Plan,115,"KOREA, REPUBLIC OF",55.0,0.0,36,0
31170,EPX,Travel Agency,Online,2 way Comprehensive Plan,58,THAILAND,81.0,0.0,56,0
31171,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,3,MALAYSIA,27.0,17.55,47,0
31172,EPX,Travel Agency,Online,Cancellation Plan,4,MYANMAR,10.0,0.0,36,0
31173,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,MALAYSIA,59.4,35.64,40,0
31174,EPX,Travel Agency,Online,Cancellation Plan,12,HONG KONG,12.0,0.0,27,0
31176,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,PHILIPPINES,29.0,0.0,36,0
31178,EPX,Travel Agency,Online,Cancellation Plan,11,HONG KONG,33.0,0.0,36,0
31179,JZI,Airlines,Online,Value Plan,11,THAILAND,39.0,13.65,48,0
31180,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,AUSTRALIA,29.7,17.82,38,0
31181,JZI,Airlines,Online,Value Plan,117,UNITED STATES,164.0,57.4,45,0
31182,EPX,Travel Agency,Online,Cancellation Plan,5,MYANMAR,39.0,0.0,36,0
31184,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,AUSTRALIA,69.3,41.58,41,0
31188,EPX,Travel Agency,Online,2 way Comprehensive Plan,30,THAILAND,21.0,0.0,36,0
31189,CBH,Travel Agency,Offline,Comprehensive Plan,85,THAILAND,29.0,9.57,79,0
31190,JZI,Airlines,Online,Basic Plan,75,THAILAND,22.0,7.7,36,0
31191,EPX,Travel Agency,Online,Cancellation Plan,18,CHINA,19.0,0.0,36,0
31192,JZI,Airlines,Online,Basic Plan,40,PHILIPPINES,33.0,11.55,57,0
31193,EPX,Travel Agency,Online,Cancellation Plan,230,ITALY,80.0,0.0,36,0
31194,EPX,Travel Agency,Online,Cancellation Plan,34,THAILAND,18.0,0.0,57,0
31196,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,UNITED KINGDOM,138.6,83.16,31,1
31197,EPX,Travel Agency,Online,Cancellation Plan,12,THAILAND,20.0,0.0,36,0
31198,C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,259.2,64.8,69,1
31200,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,60,UNITED STATES,49.5,29.7,39,0
31202,JZI,Airlines,Online,Basic Plan,12,INDONESIA,22.0,7.7,28,0
31203,EPX,Travel Agency,Online,Cancellation Plan,17,IRELAND,20.0,0.0,36,0
31205,C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,86.0,21.5,22,0
31206,EPX,Travel Agency,Online,Cancellation Plan,28,SINGAPORE,10.0,0.0,39,0
31207,EPX,Travel Agency,Online,Cancellation Plan,25,INDIA,10.0,0.0,36,0
31208,JZI,Airlines,Online,Basic Plan,51,JAPAN,35.0,12.25,43,0
31209,EPX,Travel Agency,Online,Cancellation Plan,17,THAILAND,11.0,0.0,30,0
31210,EPX,Travel Agency,Online,Cancellation Plan,27,HONG KONG,11.0,0.0,29,0
31211,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,THAILAND,32.0,0.0,36,0
31212,C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,187.85,46.96,29,0
31213,EPX,Travel Agency,Online,Cancellation Plan,23,JAPAN,37.0,0.0,36,0
31214,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,126,"KOREA, REPUBLIC OF",29.7,17.82,35,0
31215,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,SPAIN,89.1,53.46,40,0
31216,C2B,Airlines,Online,Silver Plan,68,SINGAPORE,35.5,8.88,52,0
31217,EPX,Travel Agency,Online,Cancellation Plan,12,HONG KONG,21.0,0.0,51,0
31218,EPX,Travel Agency,Online,Cancellation Plan,2,LAO PEOPLE'S DEMOCRATIC REPUBLIC,10.0,0.0,63,0
31219,EPX,Travel Agency,Online,Cancellation Plan,36,CHINA,14.0,0.0,36,0
31220,EPX,Travel Agency,Online,Cancellation Plan,29,THAILAND,24.0,0.0,36,0
31221,JZI,Airlines,Online,Basic Plan,28,HONG KONG,22.0,7.7,61,0
31223,EPX,Travel Agency,Online,Cancellation Plan,78,JAPAN,40.0,0.0,35,0
31224,EPX,Travel Agency,Offline,2 way Comprehensive Plan,22,CHINA,32.0,0.0,47,0
31225,EPX,Travel Agency,Online,Cancellation Plan,15,THAILAND,15.0,0.0,36,0
31226,JZI,Airlines,Online,Basic Plan,31,THAILAND,22.0,7.7,58,0
31227,JZI,Airlines,Online,Basic Plan,77,THAILAND,22.0,7.7,25,0
31228,JZI,Airlines,Online,Value Plan,10,CHINA,45.0,15.75,47,0
31230,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,135,ICELAND,0.0,41.58,56,0
31231,EPX,Travel Agency,Online,2 way Comprehensive Plan,3,AUSTRALIA,0.0,0.0,36,0
31232,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,71,0
31233,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,MALAYSIA,20.0,0.0,42,0
31234,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,FRANCE,59.4,35.64,41,0
31236,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,AUSTRALIA,88.0,0.0,36,0
31238,C2B,Airlines,Online,Silver Plan,95,SINGAPORE,49.5,12.38,39,0
31239,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,39.6,23.76,43,0
31240,EPX,Travel Agency,Online,Cancellation Plan,19,SINGAPORE,80.0,0.0,36,0
31241,EPX,Travel Agency,Online,Cancellation Plan,1,SINGAPORE,12.0,0.0,36,0
31242,EPX,Travel Agency,Online,Cancellation Plan,40,CAMBODIA,10.0,0.0,36,0
31243,SSI,Airlines,Online,Ticket Protector,39,SINGAPORE,40.44,11.34,48,0
31244,EPX,Travel Agency,Online,Cancellation Plan,184,UNITED STATES,80.0,0.0,48,0
31245,RAB,Airlines,Online,Value Plan,42,BRUNEI DARUSSALAM,15.0,6.0,20,0
31246,RAB,Airlines,Online,Value Plan,37,BRUNEI DARUSSALAM,15.0,6.0,32,0
31247,EPX,Travel Agency,Online,Cancellation Plan,194,INDONESIA,14.0,0.0,24,0
31249,EPX,Travel Agency,Online,2 way Comprehensive Plan,41,CHINA,27.0,0.0,36,0
31250,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,JAPAN,73.0,0.0,29,0
31252,EPX,Travel Agency,Online,1 way Comprehensive Plan,17,JAPAN,39.0,0.0,36,0
31255,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,THAILAND,29.7,17.82,31,0
31256,EPX,Travel Agency,Online,Cancellation Plan,70,SINGAPORE,10.0,0.0,36,0
31259,C2B,Airlines,Online,Bronze Plan,73,SINGAPORE,94.0,23.5,27,0
31260,C2B,Airlines,Online,Bronze Plan,35,SINGAPORE,47.0,11.75,29,0
31261,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,87,AUSTRALIA,79.2,47.52,31,0
31262,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,99.0,59.4,57,0
31263,C2B,Airlines,Online,Annual Silver Plan,387,SINGAPORE,216.0,54.0,44,0
31264,JZI,Airlines,Online,Basic Plan,42,MALAYSIA,0.0,20.3,47,0
31265,SSI,Airlines,Online,Ticket Protector,20,SINGAPORE,4.27,1.2,48,0
31266,EPX,Travel Agency,Online,Cancellation Plan,23,THAILAND,28.0,0.0,36,0
31267,EPX,Travel Agency,Online,Cancellation Plan,10,THAILAND,30.0,0.0,28,0
31268,JZI,Airlines,Online,Basic Plan,16,HONG KONG,0.0,9.1,30,0
31269,C2B,Airlines,Online,Silver Plan,14,SINGAPORE,33.5,8.38,54,1
31270,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,94,SWITZERLAND,0.0,35.64,31,0
31271,C2B,Airlines,Online,Bronze Plan,217,SINGAPORE,13.5,3.38,37,0
31272,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,MALAYSIA,21.0,0.0,36,0
31273,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,THAILAND,29.7,17.82,32,0
31274,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,"TAIWAN, PROVINCE OF CHINA",32.0,0.0,36,0
31275,C2B,Airlines,Online,Silver Plan,14,SINGAPORE,24.05,6.01,44,0
31277,EPX,Travel Agency,Online,2 way Comprehensive Plan,50,CHINA,50.0,0.0,36,0
31279,EPX,Travel Agency,Online,Cancellation Plan,164,NORWAY,60.0,0.0,36,0
31280,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,61,AUSTRALIA,59.4,35.64,39,0
31281,C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,34.5,8.63,28,0
31282,EPX,Travel Agency,Online,Cancellation Plan,21,MALAYSIA,18.0,0.0,36,0
31283,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,INDONESIA,20.0,0.0,39,0
31285,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,HONG KONG,20.0,0.0,49,0
31286,EPX,Travel Agency,Online,Cancellation Plan,11,JAPAN,13.0,0.0,46,0
31287,RAB,Airlines,Online,Value Plan,92,BRUNEI DARUSSALAM,15.0,6.0,25,0
31288,JZI,Airlines,Online,Basic Plan,94,CHINA,56.0,19.6,44,0
31289,EPX,Travel Agency,Online,Cancellation Plan,13,CHINA,30.0,0.0,36,0
31290,EPX,Travel Agency,Online,Cancellation Plan,7,INDONESIA,10.0,0.0,43,0
31291,C2B,Airlines,Online,Silver Plan,16,SINGAPORE,18.5,4.63,27,0
31292,EPX,Travel Agency,Online,Cancellation Plan,36,CHINA,17.0,0.0,36,0
31293,EPX,Travel Agency,Online,Cancellation Plan,27,THAILAND,25.0,0.0,43,0
31294,EPX,Travel Agency,Online,2 way Comprehensive Plan,210,CHINA,58.0,0.0,36,0
31295,C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,34.5,8.63,57,0
31296,JZI,Airlines,Online,Basic Plan,28,PHILIPPINES,22.0,7.7,57,0
31297,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,THAILAND,20.0,0.0,29,0
31298,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,CHINA,27.0,0.0,36,0
31299,EPX,Travel Agency,Online,2 way Comprehensive Plan,200,HONG KONG,20.0,0.0,36,0
31301,JZI,Airlines,Online,Basic Plan,10,INDONESIA,18.0,6.3,27,0
31302,EPX,Travel Agency,Online,Cancellation Plan,37,THAILAND,23.0,0.0,24,0
31304,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,AUSTRALIA,91.0,0.0,36,0
31305,TTW,Travel Agency,Offline,Spouse or Parents Comprehensive Plan,391,SINGAPORE,86.0,0.0,43,0
31306,C2B,Airlines,Online,Annual Silver Plan,405,SINGAPORE,216.0,54.0,57,0
31307,EPX,Travel Agency,Online,Cancellation Plan,17,UNITED ARAB EMIRATES,45.0,0.0,36,0
31308,EPX,Travel Agency,Online,Cancellation Plan,36,ITALY,80.0,0.0,36,0
31309,EPX,Travel Agency,Online,Cancellation Plan,5,AUSTRALIA,19.0,0.0,36,0
31310,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,AUSTRALIA,98.0,0.0,36,0
31312,EPX,Travel Agency,Online,Cancellation Plan,16,HONG KONG,18.0,0.0,36,0
31313,EPX,Travel Agency,Online,Cancellation Plan,34,PHILIPPINES,16.0,0.0,36,0
31314,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,27,0
31315,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,THAILAND,51.0,0.0,35,0
31317,EPX,Travel Agency,Online,1 way Comprehensive Plan,36,INDIA,20.0,0.0,36,0
31318,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,37.5,9.38,20,0
31319,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,27.0,6.75,37,0
31321,JZI,Airlines,Online,Value Plan,4,UNITED STATES,55.0,19.25,25,0
31322,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99,NORWAY,0.0,11.88,30,0
31323,EPX,Travel Agency,Online,Cancellation Plan,7,CHINA,29.0,0.0,36,0
31324,EPX,Travel Agency,Online,Cancellation Plan,9,"TAIWAN, PROVINCE OF CHINA",24.0,0.0,36,0
31325,C2B,Airlines,Online,Annual Silver Plan,384,SINGAPORE,216.0,54.0,41,0
31326,JZI,Airlines,Online,Value Plan,10,CHINA,58.0,20.3,52,0
31327,EPX,Travel Agency,Online,Cancellation Plan,27,MYANMAR,15.0,0.0,36,0
31328,EPX,Travel Agency,Online,2 way Comprehensive Plan,38,BRUNEI DARUSSALAM,34.0,0.0,36,0
31329,EPX,Travel Agency,Online,Cancellation Plan,7,INDONESIA,80.0,0.0,36,0
31331,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,52,UNITED STATES,69.3,41.58,52,0
31332,C2B,Airlines,Online,Silver Plan,3,SINGAPORE,24.5,6.13,27,0
31333,EPX,Travel Agency,Online,2 way Comprehensive Plan,276,CANADA,0.0,0.0,28,0
31335,EPX,Travel Agency,Online,Cancellation Plan,87,UNITED STATES,64.0,0.0,24,0
31336,RAB,Airlines,Online,Value Plan,10,BRUNEI DARUSSALAM,15.0,6.0,45,0
31337,EPX,Travel Agency,Online,Cancellation Plan,155,"KOREA, REPUBLIC OF",32.0,0.0,36,0
31338,C2B,Airlines,Online,Bronze Plan,121,SINGAPORE,40.0,10.0,45,0
31340,JZI,Airlines,Online,Basic Plan,11,PHILIPPINES,30.0,10.5,25,0
31341,EPX,Travel Agency,Online,2 way Comprehensive Plan,35,CHINA,38.0,0.0,36,0
31342,EPX,Travel Agency,Online,Cancellation Plan,80,INDIA,10.0,0.0,36,0
31343,KML,Travel Agency,Online,Value Plan,20,INDONESIA,33.0,12.54,48,0
31344,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,PHILIPPINES,26.0,0.0,36,0
31345,EPX,Travel Agency,Online,2 way Comprehensive Plan,247,"KOREA, REPUBLIC OF",28.0,0.0,36,0
31346,JZI,Airlines,Online,Value Plan,37,UNITED STATES,96.0,33.6,44,0
31347,JZI,Airlines,Online,Basic Plan,12,MALAYSIA,18.0,6.3,40,0
31348,EPX,Travel Agency,Online,Cancellation Plan,32,SINGAPORE,12.0,0.0,22,0
31349,JZI,Airlines,Online,Basic Plan,16,CHINA,26.0,9.1,44,0
31350,ADM,Travel Agency,Online,Value Plan,48,FRANCE,95.0,36.1,22,0
31352,C2B,Airlines,Online,Silver Plan,3,SINGAPORE,24.05,6.01,57,0
31354,EPX,Travel Agency,Online,Cancellation Plan,244,PHILIPPINES,19.0,0.0,36,0
31355,EPX,Travel Agency,Online,1 way Comprehensive Plan,13,MALAYSIA,20.0,0.0,49,0
31358,EPX,Travel Agency,Online,Cancellation Plan,3,SWITZERLAND,14.0,0.0,36,0
31359,RAB,Airlines,Online,Value Plan,15,BRUNEI DARUSSALAM,15.0,6.0,59,0
31361,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,13.5,3.38,69,0
31362,EPX,Travel Agency,Online,2 way Comprehensive Plan,108,SINGAPORE,71.0,0.0,36,0
31364,EPX,Travel Agency,Online,Cancellation Plan,81,THAILAND,14.0,0.0,36,0
31365,C2B,Airlines,Online,Annual Silver Plan,384,SINGAPORE,259.2,64.8,53,0
31367,C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,15.0,3.75,27,0
31369,EPX,Travel Agency,Online,Cancellation Plan,78,PHILIPPINES,10.0,0.0,36,0
31370,EPX,Travel Agency,Online,Cancellation Plan,26,MYANMAR,10.0,0.0,36,0
31371,EPX,Travel Agency,Online,2 way Comprehensive Plan,38,UNITED STATES,112.0,0.0,40,0
31372,C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,259.2,64.8,58,0
31373,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,AUSTRALIA,79.2,47.52,60,0
31374,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,6,HONG KONG,25.0,16.25,56,0
31375,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,THAILAND,29.7,17.82,48,0
31376,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,AUSTRALIA,39.6,23.76,38,0
31377,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,SWITZERLAND,112.0,0.0,36,0
31378,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,Other,0.0,29.7,46,0
31379,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,29.5,7.38,29,0
31380,EPX,Travel Agency,Online,Cancellation Plan,16,HONG KONG,34.0,0.0,36,0
31381,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,UNITED STATES,50.0,0.0,25,0
31382,EPX,Travel Agency,Online,Cancellation Plan,26,CHINA,52.0,0.0,36,0
31383,C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,26.5,6.63,27,1
31384,SSI,Airlines,Online,Ticket Protector,2,SINGAPORE,8.77,2.46,48,0
31385,RAB,Airlines,Online,Value Plan,8,BRUNEI DARUSSALAM,15.0,6.0,37,0
31386,EPX,Travel Agency,Online,Cancellation Plan,83,AUSTRALIA,24.0,0.0,26,0
31387,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,CHINA,31.0,0.0,36,0
31388,EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,10.0,0.0,39,0
31389,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,0.0,35.64,36,0
31390,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,THAILAND,29.7,17.82,57,0
31391,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,MALAYSIA,0.0,5.94,51,0
31393,EPX,Travel Agency,Online,Cancellation Plan,11,CHINA,11.0,0.0,36,0
31394,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,10,AUSTRALIA,26.5,17.23,80,0
31395,C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,13.5,3.38,22,0
31397,EPX,Travel Agency,Online,Cancellation Plan,42,"KOREA, REPUBLIC OF",45.0,0.0,36,0
31398,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,LAO PEOPLE'S DEMOCRATIC REPUBLIC,20.0,0.0,36,0
31399,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,AUSTRALIA,0.0,47.52,31,0
31400,EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,10.0,0.0,33,0
31402,EPX,Travel Agency,Online,Cancellation Plan,5,THAILAND,26.0,0.0,38,0
31403,EPX,Travel Agency,Online,Cancellation Plan,16,CANADA,80.0,0.0,41,0
31404,JZI,Airlines,Online,Basic Plan,104,PHILIPPINES,37.0,12.95,39,0
31405,EPX,Travel Agency,Online,Cancellation Plan,6,INDONESIA,19.0,0.0,53,0
31406,JZI,Airlines,Online,Basic Plan,32,CHINA,35.0,12.25,45,0
31407,EPX,Travel Agency,Online,Cancellation Plan,23,HONG KONG,16.0,0.0,21,0
31408,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,64,0
31409,EPX,Travel Agency,Online,1 way Comprehensive Plan,13,HONG KONG,20.0,0.0,36,0
31410,EPX,Travel Agency,Online,1 way Comprehensive Plan,8,GERMANY,88.0,0.0,36,0
31411,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,JAPAN,56.0,0.0,36,0
31412,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,THAILAND,0.0,11.88,43,0
31413,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,0.0,5.94,68,0
31415,JZI,Airlines,Online,Value Plan,32,CHINA,58.0,20.3,56,0
31416,EPX,Travel Agency,Online,2 way Comprehensive Plan,78,IRELAND,83.0,0.0,36,0
31417,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,SINGAPORE,20.0,0.0,27,0
31418,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,165,SWITZERLAND,79.2,47.52,31,0
31419,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,JAPAN,9.9,5.94,40,0
31420,C2B,Airlines,Online,Silver Plan,53,SINGAPORE,33.5,8.38,77,0
31422,EPX,Travel Agency,Online,Cancellation Plan,77,THAILAND,20.0,0.0,36,0
31423,EPX,Travel Agency,Online,Cancellation Plan,134,AUSTRALIA,57.0,0.0,36,0
31424,JZI,Airlines,Online,Basic Plan,24,THAILAND,18.0,6.3,55,0
31425,EPX,Travel Agency,Online,2 way Comprehensive Plan,44,UNITED STATES,112.0,0.0,26,0
31426,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,UNITED STATES,20.0,0.0,48,0
31427,C2B,Airlines,Online,Silver Plan,30,SINGAPORE,78.5,19.63,50,0
31429,EPX,Travel Agency,Online,Cancellation Plan,16,VIET NAM,14.0,0.0,36,0
31431,EPX,Travel Agency,Online,Cancellation Plan,109,UNITED KINGDOM,80.0,0.0,60,0
31432,EPX,Travel Agency,Online,1 way Comprehensive Plan,92,MALAYSIA,20.0,0.0,73,0
31433,EPX,Travel Agency,Online,Cancellation Plan,7,VIET NAM,10.0,0.0,36,0
31434,EPX,Travel Agency,Online,Cancellation Plan,67,HONG KONG,16.0,0.0,36,0
31436,EPX,Travel Agency,Offline,2 way Comprehensive Plan,101,SPAIN,68.0,0.0,38,0
31437,C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,23.0,5.75,56,0
31438,C2B,Airlines,Online,Gold Plan,55,SINGAPORE,88.0,22.0,41,0
31439,C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,34.5,8.63,24,0
